,Maze,Metric,Alternative,P Value,Null Hypothesis
0,Cassandra4x4-v0,knowledge_list,two-sided,0.0,Reject
1,Cassandra4x4-v0,knowledge_list,larger,1.0,Accept
2,Cassandra4x4-v0,knowledge_list,smaller,0.0,Reject
3,Cassandra4x4-v0,population_list,two-sided,5.39757282331619e-07,Reject
4,Cassandra4x4-v0,population_list,larger,0.9999997301213588,Accept
5,Cassandra4x4-v0,population_list,smaller,2.698786411658095e-07,Reject
6,Cassandra4x4-v0,reliable_list,two-sided,0.00014551659398936238,Reject
7,Cassandra4x4-v0,reliable_list,larger,0.9999272417030053,Accept
8,Cassandra4x4-v0,reliable_list,smaller,7.275829699468119e-05,Reject
9,Cassandra4x4-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
10,Cassandra4x4-v0,pees_matching_non_aliased_states_list,larger,,Accept
11,Cassandra4x4-v0,pees_matching_non_aliased_states_list,smaller,,Accept
12,Cassandra4x4-v0,mean_reliable_classifier_specificity_list,two-sided,2.449086208174158e-109,Reject
13,Cassandra4x4-v0,mean_reliable_classifier_specificity_list,larger,1.0,Accept
14,Cassandra4x4-v0,mean_reliable_classifier_specificity_list,smaller,1.224543104087079e-109,Reject
15,Cassandra4x4-v0,full_knowledge_first_trial_list,two-sided,9.800308079734501e-170,Reject
16,Cassandra4x4-v0,full_knowledge_first_trial_list,larger,1.0,Accept
17,Cassandra4x4-v0,full_knowledge_first_trial_list,smaller,4.900154039867251e-170,Reject
18,Cassandra4x4-v0,full_knowledge_stable_trial_list,two-sided,9.800308079734501e-170,Reject
19,Cassandra4x4-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
20,Cassandra4x4-v0,full_knowledge_stable_trial_list,smaller,4.900154039867251e-170,Reject
21,Littman57-v0,knowledge_list,two-sided,0.0,Reject
22,Littman57-v0,knowledge_list,larger,1.0,Accept
23,Littman57-v0,knowledge_list,smaller,0.0,Reject
24,Littman57-v0,population_list,two-sided,0.38996211206556597,Accept
25,Littman57-v0,population_list,larger,0.8050189439672171,Accept
26,Littman57-v0,population_list,smaller,0.19498105603278298,Accept
27,Littman57-v0,reliable_list,two-sided,0.06715484529077725,Accept
28,Littman57-v0,reliable_list,larger,0.9664225773546113,Accept
29,Littman57-v0,reliable_list,smaller,0.03357742264538863,Accept
30,Littman57-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
31,Littman57-v0,pees_matching_non_aliased_states_list,larger,,Accept
32,Littman57-v0,pees_matching_non_aliased_states_list,smaller,,Accept
33,Littman57-v0,mean_reliable_classifier_specificity_list,two-sided,0.0002241481156359576,Reject
34,Littman57-v0,mean_reliable_classifier_specificity_list,larger,0.999887925942182,Accept
35,Littman57-v0,mean_reliable_classifier_specificity_list,smaller,0.0001120740578179788,Reject
36,Littman57-v0,full_knowledge_first_trial_list,two-sided,0.0,Reject
37,Littman57-v0,full_knowledge_first_trial_list,larger,1.0,Accept
38,Littman57-v0,full_knowledge_first_trial_list,smaller,0.0,Reject
39,Littman57-v0,full_knowledge_stable_trial_list,two-sided,0.0,Reject
40,Littman57-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
41,Littman57-v0,full_knowledge_stable_trial_list,smaller,0.0,Reject
42,Littman89-v0,knowledge_list,two-sided,0.0,Reject
43,Littman89-v0,knowledge_list,larger,1.0,Accept
44,Littman89-v0,knowledge_list,smaller,0.0,Reject
45,Littman89-v0,population_list,two-sided,0.00608020559521953,Reject
46,Littman89-v0,population_list,larger,0.9969598972023902,Accept
47,Littman89-v0,population_list,smaller,0.003040102797609765,Reject
48,Littman89-v0,reliable_list,two-sided,0.00854838491465646,Reject
49,Littman89-v0,reliable_list,larger,0.9957258075426718,Accept
50,Littman89-v0,reliable_list,smaller,0.00427419245732823,Reject
51,Littman89-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
52,Littman89-v0,pees_matching_non_aliased_states_list,larger,,Accept
53,Littman89-v0,pees_matching_non_aliased_states_list,smaller,,Accept
54,Littman89-v0,mean_reliable_classifier_specificity_list,two-sided,0.00024021836933099571,Reject
55,Littman89-v0,mean_reliable_classifier_specificity_list,larger,0.9998798908153345,Accept
56,Littman89-v0,mean_reliable_classifier_specificity_list,smaller,0.00012010918466549786,Reject
57,Littman89-v0,full_knowledge_first_trial_list,two-sided,4.92867279380571e-201,Reject
58,Littman89-v0,full_knowledge_first_trial_list,larger,1.0,Accept
59,Littman89-v0,full_knowledge_first_trial_list,smaller,2.464336396902855e-201,Reject
60,Littman89-v0,full_knowledge_stable_trial_list,two-sided,4.92867279380571e-201,Reject
61,Littman89-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
