,Maze,Metric,Alternative,P Value,Null Hypothesis
0,Cassandra4x4-v0,knowledge_list,two-sided,,Accept
1,Cassandra4x4-v0,knowledge_list,larger,,Accept
2,Cassandra4x4-v0,knowledge_list,smaller,,Accept
3,Cassandra4x4-v0,population_list,two-sided,0.00012743399838280867,Reject
4,Cassandra4x4-v0,population_list,larger,6.371699919140434e-05,Reject
5,Cassandra4x4-v0,population_list,smaller,0.9999362830008086,Accept
6,Cassandra4x4-v0,reliable_list,two-sided,3.975432706160485e-17,Reject
7,Cassandra4x4-v0,reliable_list,larger,1.9877163530802426e-17,Reject
8,Cassandra4x4-v0,reliable_list,smaller,1.0,Accept
9,Cassandra4x4-v0,pees_matching_non_aliased_states_list,two-sided,0.15068979309140162,Accept
10,Cassandra4x4-v0,pees_matching_non_aliased_states_list,larger,0.9246551034542991,Accept
11,Cassandra4x4-v0,pees_matching_non_aliased_states_list,smaller,0.07534489654570081,Accept
12,Cassandra4x4-v0,mean_reliable_classifier_specificity_list,two-sided,2.581261633685716e-276,Reject
13,Cassandra4x4-v0,mean_reliable_classifier_specificity_list,larger,1.290630816842858e-276,Reject
14,Cassandra4x4-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
15,Cassandra4x4-v0,full_knowledge_first_trial_list,two-sided,0.02887162034462853,Accept
16,Cassandra4x4-v0,full_knowledge_first_trial_list,larger,0.014435810172314266,Accept
17,Cassandra4x4-v0,full_knowledge_first_trial_list,smaller,0.9855641898276858,Accept
18,Cassandra4x4-v0,full_knowledge_stable_trial_list,two-sided,0.7318944503404201,Accept
19,Cassandra4x4-v0,full_knowledge_stable_trial_list,larger,0.63405277482979,Accept
20,Cassandra4x4-v0,full_knowledge_stable_trial_list,smaller,0.36594722517021006,Accept
21,Littman57-v0,knowledge_list,two-sided,,Accept
22,Littman57-v0,knowledge_list,larger,,Accept
23,Littman57-v0,knowledge_list,smaller,,Accept
24,Littman57-v0,population_list,two-sided,5.278671011936209e-39,Reject
25,Littman57-v0,population_list,larger,2.6393355059681043e-39,Reject
26,Littman57-v0,population_list,smaller,1.0,Accept
27,Littman57-v0,reliable_list,two-sided,6.460295385288242e-129,Reject
28,Littman57-v0,reliable_list,larger,3.230147692644121e-129,Reject
29,Littman57-v0,reliable_list,smaller,1.0,Accept
30,Littman57-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
31,Littman57-v0,pees_matching_non_aliased_states_list,larger,,Accept
32,Littman57-v0,pees_matching_non_aliased_states_list,smaller,,Accept
33,Littman57-v0,mean_reliable_classifier_specificity_list,two-sided,4.648522468759914e-31,Reject
34,Littman57-v0,mean_reliable_classifier_specificity_list,larger,2.324261234379957e-31,Reject
35,Littman57-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
36,Littman57-v0,full_knowledge_first_trial_list,two-sided,4.4581305447883904e-13,Reject
37,Littman57-v0,full_knowledge_first_trial_list,larger,2.2290652723941952e-13,Reject
38,Littman57-v0,full_knowledge_first_trial_list,smaller,0.9999999999997771,Accept
39,Littman57-v0,full_knowledge_stable_trial_list,two-sided,0.8366156034278979,Accept
40,Littman57-v0,full_knowledge_stable_trial_list,larger,0.581692198286051,Accept
41,Littman57-v0,full_knowledge_stable_trial_list,smaller,0.41830780171394893,Accept
42,Littman89-v0,knowledge_list,two-sided,,Accept
43,Littman89-v0,knowledge_list,larger,,Accept
44,Littman89-v0,knowledge_list,smaller,,Accept
45,Littman89-v0,population_list,two-sided,7.735322092693432e-25,Reject
46,Littman89-v0,population_list,larger,1.0,Accept
47,Littman89-v0,population_list,smaller,3.867661046346716e-25,Reject
48,Littman89-v0,reliable_list,two-sided,4.200860095575772e-24,Reject
49,Littman89-v0,reliable_list,larger,2.100430047787886e-24,Reject
50,Littman89-v0,reliable_list,smaller,1.0,Accept
51,Littman89-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
52,Littman89-v0,pees_matching_non_aliased_states_list,larger,,Accept
53,Littman89-v0,pees_matching_non_aliased_states_list,smaller,,Accept
54,Littman89-v0,mean_reliable_classifier_specificity_list,two-sided,9.312279678467078e-55,Reject
55,Littman89-v0,mean_reliable_classifier_specificity_list,larger,4.656139839233539e-55,Reject
56,Littman89-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
57,Littman89-v0,full_knowledge_first_trial_list,two-sided,1.288209998566621e-10,Reject
58,Littman89-v0,full_knowledge_first_trial_list,larger,6.441049992833105e-11,Reject
59,Littman89-v0,full_knowledge_first_trial_list,smaller,0.9999999999355895,Accept
60,Littman89-v0,full_knowledge_stable_trial_list,two-sided,2.9326915736789632e-08,Reject
61,Littman89-v0,full_knowledge_stable_trial_list,larger,1.4663457868394816e-08,Reject
62,Littman89-v0,full_knowledge_stable_trial_list,smaller,0.9999999853365421,Accept
63,MazeB-v0,knowledge_list,two-sided,,Accept
64,MazeB-v0,knowledge_list,larger,,Accept
65,MazeB-v0,knowledge_list,smaller,,Accept
66,MazeB-v0,population_list,two-sided,4.5626234384871064e-18,Reject
