,Maze,Metric,ALCS,Alternative,Degrees of freedom,P Value,Null Hypothesis
0,Cassandra4x4-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,57.49243202214585,0.2843691205598918,Accept
1,Cassandra4x4-v0,population_list,BEACS-debiased-BEACS,two-sided,54.391808776945204,0.5843955606496964,Accept
2,Cassandra4x4-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.70455419463386,0.7869407828312163,Accept
3,Cassandra4x4-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,55.77822013923636,0.5221259477767017,Accept
4,Littman57-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,29.0,0.16078820842590144,Accept
5,Littman57-v0,population_list,BEACS-debiased-BEACS,two-sided,56.79795084860324,0.4484302097370281,Accept
6,Littman57-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,46.24720096165589,0.08638039909659669,Accept
7,Littman57-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.79014553654599,0.5327830912422566,Accept
8,Littman89-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,44.00626233164623,0.1682687475104389,Accept
9,Littman89-v0,population_list,BEACS-debiased-BEACS,two-sided,55.950639295144,0.7129849269838476,Accept
10,Littman89-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,48.560981585545804,0.06623438411451484,Accept
11,Littman89-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,51.51249332197036,0.338539854435036,Accept
12,MazeA-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
13,MazeA-v0,population_list,BEACS-debiased-BEACS,two-sided,40.44493774732168,0.4136241045835525,Accept
14,MazeA-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.875194718881566,0.3639613642437235,Accept
15,MazeA-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.7431237964759,0.8276942577715973,Accept
