,Maze,Metric,ALCS,Alternative,Degrees of freedom,P Value,Null Hypothesis
0,Cassandra4x4-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,57.99018526902892,0.6360190682143594,Accept
1,Cassandra4x4-v0,population_list,BEACS-debiased-BEACS,two-sided,55.31934434396137,0.5525335183320299,Accept
2,Cassandra4x4-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,48.966773280938526,0.04293680111221955,Reject
3,Cassandra4x4-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,56.54268923173643,0.8378084131450856,Accept
4,Littman57-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
5,Littman57-v0,population_list,BEACS-debiased-BEACS,two-sided,57.57011860455681,0.6053723138472412,Accept
6,Littman57-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.875941121754714,0.06806895755668625,Accept
7,Littman57-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.273219513783935,0.7659864733352109,Accept
8,Littman89-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
9,Littman89-v0,population_list,BEACS-debiased-BEACS,two-sided,56.08099142391772,0.25607421989185447,Accept
10,Littman89-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.999532941431006,0.5322518627343805,Accept
11,Littman89-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,54.19967338145183,0.5349416759023624,Accept
12,MazeA-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
13,MazeA-v0,population_list,BEACS-debiased-BEACS,two-sided,56.294407088396056,0.16808333534428427,Accept
14,MazeA-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,,,Accept
15,MazeA-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,55.13638948031874,0.024007286228996706,Reject
16,MazeB-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
17,MazeB-v0,population_list,BEACS-debiased-BEACS,two-sided,54.50523783156554,0.048154845700019475,Reject
18,MazeB-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,55.5046290381223,0.6639142850334034,Accept
19,MazeB-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,56.04971648380094,0.212875344464054,Accept
20,MazeD-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
21,MazeD-v0,population_list,BEACS-debiased-BEACS,two-sided,52.8804168109348,0.17133335126546767,Accept
22,MazeD-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,47.9800043241608,0.0005369436445848805,Reject
23,MazeD-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,55.54237102300912,0.7377952901868545,Accept
24,MazeF4-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
25,MazeF4-v0,population_list,BEACS-debiased-BEACS,two-sided,57.68656106584072,0.5325442402309456,Accept
26,MazeF4-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.00300416773524,0.44821534349959213,Accept
27,MazeF4-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,49.87282796837073,0.9251364995333263,Accept
28,Maze4-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
29,Maze4-v0,population_list,BEACS-debiased-BEACS,two-sided,52.99937952436283,3.6300180418142495e-11,Reject
30,Maze4-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,,,Accept
31,Maze4-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,56.56990971278385,0.8389470182254565,Accept
32,Maze5-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
33,Maze5-v0,population_list,BEACS-debiased-BEACS,two-sided,45.89018754859894,1.4086954517458396e-21,Reject
34,Maze5-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,,,Accept
35,Maze5-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,52.52723004576401,2.3695212486289666e-09,Reject
36,Maze7-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
37,Maze7-v0,population_list,BEACS-debiased-BEACS,two-sided,56.3696795307363,0.10486986567029197,Accept
38,Maze7-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,40.828731134549486,0.0023328591187403444,Reject
39,Maze7-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.96250738110634,0.73974317894746,Accept
40,Maze10-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
41,Maze10-v0,population_list,BEACS-debiased-BEACS,two-sided,57.48793806614252,0.7691408141609819,Accept
42,Maze10-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,51.323938443515615,0.24087050411545297,Accept
43,Maze10-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.96269712829826,0.014126637928901155,Reject
44,MazeE1-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,58.0,1.0,Accept
45,MazeE1-v0,population_list,BEACS-debiased-BEACS,two-sided,57.889741763310305,0.0614017090809573,Accept
46,MazeE1-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.56683737781117,0.7985218623322216,Accept
