Episode,Cartpole n°1,Cartpole n°2,Cartpole n°3,Cartpole n°4,Cartpole n°5,Cartpole n°6,Cartpole n°7,Cartpole n°8,Cartpole n°9,Cartpole n°10,Cartpole n°11,Cartpole n°12,Cartpole n°13,Cartpole n°14,Cartpole n°15,Cartpole n°16,Cartpole n°17,Cartpole n°18,Cartpole n°19,Cartpole n°20,Cartpole n°21,Cartpole n°22,Cartpole n°23,Cartpole n°24,Cartpole n°25,Cartpole n°26,Cartpole n°27,Cartpole n°28,Cartpole n°29,Cartpole n°30
101,22.87,25.96,19.46,23.15,28.83,27.39,24.15,23.69,22.43,25.53,24.15,24.18,22.31,24.82,21.39,27.64,25.13,23.45,28.44,23.44,23.35,24.28,21.14,25.52,21.66,23.71,23.83,25.62,24.82,23.29
102,23.0,26.11,19.47,23.41,28.85,27.44,24.26,23.89,22.47,25.63,24.29,24.35,22.3,24.93,21.49,27.83,25.33,23.6,28.5,23.59,23.58,24.37,21.27,25.66,21.72,23.73,24.08,25.64,25.05,23.38
103,23.03,26.46,19.67,23.55,28.95,27.43,24.03,24.04,22.56,25.56,24.46,25.01,22.26,25.05,21.61,27.85,25.4,23.76,27.98,23.69,23.74,24.64,21.0,25.8,21.83,23.72,24.27,25.77,25.22,23.49
104,23.23,26.57,19.72,23.59,29.15,27.32,24.13,24.1,22.65,25.75,24.6,25.11,22.36,25.31,21.61,27.82,25.5,23.84,27.86,23.72,23.84,24.76,21.23,25.98,21.95,23.62,24.4,25.94,25.21,23.41
105,23.39,26.73,19.81,23.54,29.38,27.29,24.06,24.27,22.65,25.89,24.46,25.16,22.13,25.34,21.75,27.52,25.7,23.99,27.83,23.79,23.93,24.85,21.34,26.01,22.1,23.6,24.41,25.85,25.33,23.36
106,23.39,26.7,19.97,23.6,29.43,27.4,24.11,24.31,22.72,26.29,24.52,25.26,22.0,25.43,21.86,27.42,25.67,24.0,27.85,23.94,24.14,24.93,21.32,26.13,22.23,23.54,24.57,25.85,25.39,23.46
107,23.31,26.51,20.06,23.57,29.51,27.47,24.3,24.47,22.71,26.11,24.53,25.33,21.84,25.55,21.97,27.16,25.57,24.18,27.39,23.9,24.26,25.05,21.48,26.26,22.34,23.59,24.76,25.81,25.29,23.52
108,23.36,26.33,20.17,23.61,29.52,27.46,24.31,24.57,22.63,25.89,24.54,25.19,21.67,25.63,21.94,27.05,25.62,24.24,27.31,23.92,24.21,25.26,21.63,26.45,22.45,23.48,24.97,25.51,25.35,23.49
109,23.47,25.96,20.24,23.43,29.51,27.49,24.33,24.65,22.66,25.78,24.41,25.25,21.57,25.69,22.12,27.15,25.63,24.34,27.17,23.9,24.32,25.36,21.69,26.57,22.59,23.53,25.12,25.49,25.3,23.49
110,23.5,26.1,20.41,23.38,29.56,27.49,24.41,24.88,22.75,25.75,24.33,25.25,21.5,25.75,22.14,27.12,25.52,24.38,26.98,24.19,24.43,25.53,21.82,26.46,22.71,23.38,25.22,25.47,25.31,23.5
111,23.73,26.12,20.65,23.24,29.52,27.59,24.31,25.02,22.77,25.72,24.26,25.24,21.52,25.66,22.69,27.19,25.45,24.42,26.83,24.23,24.56,25.6,21.97,26.58,22.81,23.34,25.39,25.36,25.31,23.5
112,23.83,26.1,20.78,23.08,29.61,27.58,24.28,25.11,22.92,25.73,24.26,25.1,21.54,25.63,22.67,27.12,25.33,24.43,26.79,24.39,24.78,25.76,22.12,26.65,22.84,23.48,25.54,25.28,25.28,23.41
113,23.84,26.15,20.77,23.1,29.76,27.68,24.3,25.15,22.68,25.59,24.35,25.1,21.54,25.68,22.71,26.96,25.22,24.33,26.6,24.09,24.81,25.97,22.2,26.76,22.85,23.47,25.74,25.32,25.25,23.37
114,24.79,26.26,20.9,23.12,29.24,27.34,24.26,25.15,22.8,25.49,24.39,24.99,21.46,25.76,22.89,27.07,25.09,24.22,26.61,24.23,24.76,26.09,22.1,26.87,22.91,23.51,25.38,25.44,25.13,23.31
115,25.13,26.36,21.04,23.26,29.06,27.16,24.22,25.24,22.86,25.56,24.19,25.0,21.53,25.75,22.78,26.71,25.12,24.21,26.7,24.31,24.62,26.15,22.63,26.86,22.99,23.56,25.4,25.65,25.13,23.17
116,25.19,26.37,21.28,23.49,29.12,27.23,24.14,25.26,22.98,25.48,24.19,25.04,22.27,25.71,22.77,26.68,25.3,24.25,26.62,24.36,24.48,26.41,22.71,26.79,22.94,23.56,25.24,25.75,25.01,23.11
117,25.28,26.47,21.28,23.47,28.99,27.08,24.1,25.28,22.93,25.56,24.11,24.75,22.29,25.65,22.77,26.62,25.32,24.48,26.62,24.31,24.29,26.43,22.75,26.83,22.98,23.77,25.36,25.94,25.03,23.16
118,25.36,26.66,21.48,23.52,28.79,27.07,24.21,25.2,23.07,25.66,24.13,24.69,22.34,26.63,22.7,26.64,25.42,24.53,26.72,24.37,24.17,26.63,22.74,26.93,22.95,23.8,25.38,25.88,25.0,23.08
119,25.41,26.82,21.54,23.48,28.64,27.09,24.33,25.15,23.14,25.68,24.2,24.63,22.61,26.59,22.82,26.79,25.47,24.45,26.57,24.63,24.21,26.7,22.63,27.02,23.01,23.73,25.36,25.87,24.69,23.01
