Episode,Cartpole n°1,Cartpole n°2,Cartpole n°3,Cartpole n°4,Cartpole n°5,Cartpole n°6,Cartpole n°7,Cartpole n°8,Cartpole n°9,Cartpole n°10,Cartpole n°11,Cartpole n°12,Cartpole n°13,Cartpole n°14,Cartpole n°15,Cartpole n°16,Cartpole n°17,Cartpole n°18,Cartpole n°19,Cartpole n°20,Cartpole n°21,Cartpole n°22,Cartpole n°23,Cartpole n°24,Cartpole n°25,Cartpole n°26,Cartpole n°27,Cartpole n°28,Cartpole n°29,Cartpole n°30
101,14.6,15.35,14.47,14.9,14.04,18.44,12.88,18.28,19.69,16.72,15.24,14.63,14.87,14.48,15.88,15.29,15.19,14.39,19.61,15.92,14.98,19.48,16.78,14.72,14.65,18.11,19.94,18.44,19.25,14.54
102,14.73,15.44,14.47,14.86,14.03,18.46,12.89,18.23,19.72,16.64,15.18,14.69,14.97,14.55,15.8,15.35,15.16,14.42,19.85,15.9,14.87,19.77,17.24,14.72,14.66,18.34,20.02,18.7,19.33,14.52
103,14.77,15.53,14.43,14.84,13.99,18.44,12.89,18.27,19.85,16.72,15.28,14.75,15.05,14.55,15.75,15.36,15.17,14.36,19.94,15.87,14.83,19.74,17.29,14.75,14.71,18.38,20.09,18.96,19.29,14.43
104,14.8,15.57,14.35,14.83,14.09,18.46,12.87,18.31,20.02,16.67,15.3,14.81,14.77,14.57,15.69,15.29,15.19,14.35,20.13,15.86,14.86,19.78,17.23,14.75,14.75,18.32,20.1,19.17,19.38,14.49
105,14.79,15.63,14.47,14.84,14.15,18.43,13.04,18.32,20.06,16.6,15.29,14.97,14.7,14.55,14.98,15.32,15.24,14.37,19.93,15.88,14.9,19.83,17.17,14.8,14.73,18.23,20.13,19.24,19.39,14.78
106,14.82,15.78,14.53,15.04,14.22,18.33,13.03,18.22,20.41,16.62,15.21,14.91,14.68,14.74,14.83,15.34,15.26,14.39,19.92,15.89,14.89,19.91,17.09,14.83,14.75,18.4,20.16,19.28,19.39,14.67
107,14.93,15.7,14.56,15.08,14.25,18.49,13.02,17.89,20.13,16.73,15.23,15.0,14.75,15.01,14.79,15.37,15.21,14.45,19.73,15.84,14.91,19.92,17.07,14.79,14.84,18.39,20.15,19.2,19.3,14.7
108,14.89,15.67,14.53,14.84,14.07,18.53,12.99,17.57,19.65,16.75,15.18,15.06,14.76,15.0,14.85,15.34,15.11,14.54,20.17,15.77,14.78,19.95,17.07,14.78,14.83,18.37,20.17,19.12,19.07,14.63
109,14.89,15.66,14.23,14.77,14.06,18.44,13.06,17.29,19.8,16.45,15.19,15.0,14.74,14.69,14.9,15.38,15.07,14.75,20.42,15.79,14.78,20.0,17.02,14.74,14.79,18.39,20.45,19.09,19.03,14.67
110,14.86,15.7,14.25,14.75,14.11,18.48,13.1,17.33,19.73,16.39,15.23,14.96,14.64,14.71,14.88,15.36,15.1,14.64,20.51,15.84,14.82,20.01,16.96,14.83,14.46,18.28,20.5,19.08,18.93,14.69
111,14.82,15.67,14.32,14.69,14.13,18.64,13.14,17.3,19.48,16.42,15.25,15.04,14.64,14.8,14.94,15.38,15.12,14.8,20.56,15.91,14.78,20.05,16.88,14.81,14.34,18.26,20.61,19.01,18.91,14.71
112,14.79,15.69,14.27,14.62,14.23,18.64,13.11,16.76,19.0,16.28,15.25,15.09,14.63,14.82,15.13,15.37,15.16,14.75,20.56,15.89,14.62,20.04,16.88,14.7,14.33,18.34,20.65,18.84,18.83,14.66
