Episode,Cartpole n°1,Cartpole n°2,Cartpole n°3,Cartpole n°4,Cartpole n°5,Cartpole n°6,Cartpole n°7,Cartpole n°8,Cartpole n°9,Cartpole n°10,Cartpole n°11,Cartpole n°12,Cartpole n°13,Cartpole n°14,Cartpole n°15,Cartpole n°16,Cartpole n°17,Cartpole n°18,Cartpole n°19,Cartpole n°20,Cartpole n°21,Cartpole n°22,Cartpole n°23,Cartpole n°24,Cartpole n°25,Cartpole n°26,Cartpole n°27,Cartpole n°28,Cartpole n°29,Cartpole n°30
101,26.26,22.86,24.91,25.64,26.07,23.69,22.74,21.66,22.33,22.0,22.32,23.91,21.85,26.25,23.81,24.02,24.99,22.57,22.22,22.83,25.15,23.27,23.48,23.09,26.85,24.24,23.61,23.68,24.61,21.21
102,26.27,22.91,24.93,25.57,25.99,23.74,22.9,21.77,22.32,22.08,22.48,24.17,21.8,26.32,23.82,24.17,24.97,22.51,22.29,23.01,25.22,23.41,23.59,23.14,26.83,24.26,23.71,23.47,24.58,21.33
103,26.22,22.85,24.99,25.54,25.92,23.73,22.99,21.71,22.17,22.35,22.42,24.24,21.95,26.42,23.86,24.14,25.0,22.69,22.19,23.17,25.29,23.51,23.62,23.34,26.82,24.24,23.87,23.63,24.57,21.45
104,26.09,22.95,25.05,25.57,26.02,23.8,23.04,21.72,22.08,22.31,22.52,24.07,21.94,26.47,23.44,24.11,24.86,22.76,22.16,23.47,25.36,23.61,23.84,23.43,26.98,24.04,23.88,23.6,24.45,21.61
105,26.0,22.99,24.98,25.47,26.06,23.85,22.98,21.52,22.02,22.19,22.52,23.91,21.95,26.45,23.58,24.18,24.73,22.94,22.32,23.78,25.4,23.57,23.91,23.51,26.93,24.05,23.95,23.67,24.49,21.72
106,25.72,23.06,25.05,25.44,26.17,23.96,23.03,21.57,22.13,22.15,22.55,23.91,21.69,26.58,23.61,24.24,24.52,22.97,22.28,23.92,25.47,23.67,24.15,23.51,26.86,24.06,24.05,23.62,24.34,21.88
107,25.5,23.17,25.06,25.34,26.28,24.07,22.93,21.38,22.1,22.01,22.55,24.09,21.73,26.68,23.64,23.95,24.46,22.85,22.27,24.09,25.52,23.77,24.11,23.25,26.71,24.06,24.18,23.4,24.38,21.97
108,25.54,23.29,25.03,25.03,26.25,24.06,23.42,21.34,22.13,21.55,22.53,24.19,21.68,26.71,23.57,23.9,24.48,22.71,22.1,24.23,25.59,23.89,23.99,23.22,26.68,24.02,24.23,23.29,24.39,22.08
109,25.6,23.27,25.04,24.98,26.3,24.06,23.58,21.25,22.17,21.42,22.46,24.21,21.63,26.77,23.37,23.68,24.41,22.55,21.99,24.29,25.56,23.9,24.15,23.1,26.62,23.98,24.29,23.23,24.19,22.03
110,25.87,23.34,25.06,24.75,26.23,23.91,23.71,21.04,22.12,21.13,22.33,24.21,21.63,26.95,23.48,23.92,24.41,22.39,22.05,24.36,25.6,23.87,24.06,23.21,26.57,23.85,24.43,22.86,24.02,22.11
111,25.98,23.31,25.09,24.54,26.15,23.84,23.67,20.75,22.1,21.43,22.3,24.17,21.75,26.96,23.19,23.77,24.35,22.44,22.06,24.4,25.61,23.79,23.85,23.29,26.75,23.96,24.39,22.99,24.0,22.24
