Episode,Cartpole n°1,Cartpole n°2,Cartpole n°3,Cartpole n°4,Cartpole n°5,Cartpole n°6,Cartpole n°7,Cartpole n°8,Cartpole n°9,Cartpole n°10,Cartpole n°11,Cartpole n°12,Cartpole n°13,Cartpole n°14,Cartpole n°15,Cartpole n°16,Cartpole n°17,Cartpole n°18,Cartpole n°19,Cartpole n°20,Cartpole n°21,Cartpole n°22,Cartpole n°23,Cartpole n°24,Cartpole n°25,Cartpole n°26,Cartpole n°27,Cartpole n°28,Cartpole n°29,Cartpole n°30
101,22.24,21.62,20.59,21.73,23.64,21.39,23.91,23.89,26.08,18.5,26.12,19.85,21.2,21.02,15.84,22.31,27.29,20.63,30.39,22.7,35.29,21.59,30.32,27.89,29.13,23.35,29.18,23.38,24.26,29.51
102,22.3,21.77,20.64,22.0,23.81,21.81,23.76,23.88,26.38,18.57,26.22,19.98,21.34,21.03,15.67,22.46,27.6,20.87,30.78,23.05,37.12,21.58,30.58,27.98,29.25,23.61,29.23,23.44,24.15,29.64
103,22.26,22.14,20.66,22.07,23.83,21.89,23.73,23.91,26.79,19.07,26.12,20.22,21.68,21.2,15.76,22.67,27.74,20.9,30.82,23.15,38.1,21.66,30.88,28.13,29.38,23.86,29.35,23.82,24.45,29.64
104,22.32,22.26,20.7,22.2,24.09,22.18,23.54,23.98,26.94,19.14,26.34,20.19,21.83,21.19,15.73,22.85,27.82,21.14,30.86,23.2,38.18,21.75,30.91,28.37,29.59,24.23,29.82,24.03,24.5,29.58
105,22.41,22.41,20.49,22.24,24.35,22.36,23.5,24.06,27.07,19.17,26.34,20.2,21.94,21.42,15.82,23.11,28.02,22.69,31.55,23.29,38.18,21.91,31.03,29.36,29.65,24.4,29.94,24.16,24.59,29.59
106,22.47,22.38,20.26,22.24,24.44,22.41,23.51,24.3,27.31,19.22,26.36,20.72,22.28,21.81,15.98,23.26,28.16,22.84,31.96,23.32,38.47,22.24,31.14,29.71,29.69,24.68,30.15,24.26,24.89,30.06
107,23.19,22.39,20.32,22.62,24.39,22.3,23.79,24.44,27.37,19.3,26.39,20.72,22.3,22.21,15.95,23.36,28.3,22.87,31.99,23.34,38.51,22.3,31.34,30.46,29.87,24.88,30.62,24.35,25.02,30.45
108,23.29,22.44,20.09,22.73,24.44,22.27,23.64,24.32,27.61,19.36,26.6,20.72,23.03,22.32,16.01,23.43,28.5,22.85,32.2,23.38,38.65,22.4,31.4,30.89,29.86,24.99,30.74,24.36,24.83,30.42
109,23.33,22.82,20.1,22.74,24.55,22.37,24.0,24.33,27.84,19.35,26.83,21.1,23.01,22.41,16.02,23.83,28.58,23.19,32.26,23.4,38.79,22.39,31.4,31.52,30.39,25.37,30.89,24.58,25.14,30.48
110,23.9,22.85,20.09,22.79,24.57,22.37,24.37,24.44,28.63,19.31,26.67,21.24,23.65,22.51,16.05,24.18,28.82,23.2,32.34,23.71,39.09,22.49,31.9,32.7,30.85,25.67,30.98,24.53,25.22,30.64
111,24.02,22.83,20.06,22.87,24.59,22.44,24.56,24.53,28.7,19.28,26.39,21.23,23.84,23.01,16.1,24.65,28.9,23.23,32.53,24.34,39.2,22.61,31.92,34.95,31.07,26.15,31.15,24.42,25.26,30.81
112,23.83,22.51,20.0,23.0,24.64,22.47,24.59,24.73,28.82,19.34,26.6,21.2,23.95,23.17,16.14,24.77,29.03,23.47,32.45,24.52,39.23,22.68,31.95,35.18,30.99,26.54,31.4,24.67,25.32,30.77
113,24.07,22.69,20.33,22.99,24.66,22.58,24.77,24.83,28.9,19.46,26.63,21.59,23.99,23.2,16.24,24.99,29.27,23.61,32.66,24.61,39.59,22.74,32.11,36.95,31.96,26.5,31.5,24.59,25.51,30.89
